Title,Summary,Cosine Similarity
Pentingnya Hak Cipta dan Perlakuan Maksimal untuk Para Pelaku Seni,"Perseteruan Ahmad Dhani dan Once beberapa waktu lalu soal royalti izin membawakan lagu Dewa 19 sempat dianggap sebagai drama oleh netizen. Nyatanya, hal itu sangat berpengaruh bagi keberlangsungan hidup musisi dan orang belakang layar dari kesuksesan sebuah karya. Pembahasan itu pula yang dibahas pada event TimeOut episode 3 IP:101 Own and Protect Your Creative Works oleh Ratri Ninditya. ""Hak cipta tidak pernah memberikan perlindungan maksimal bagi musisi, namun hanya untuk pihak-pihak perantara (label rekaman, platform digital, dan sebagainya),"" kata Ratri lewat acara yang berlangsung di kawasan Tanah Abang, Jakarta Pusat, belum lama ini. Kalau di era dulu, musisi jualan lagu 1 juta keping, hasilnya bisa beli rumah dan mobil. sambungnya menggambarkan jelas ironi musisi di era digital ini. Perlu diketahui, event TimeOut sendiri merupakan wadah bagi anak muda kreatif untuk beristirahat sejenak dan bertukar pikiran, terhubung, juga mengeksplorasi berbagai perspektif dengan para pakar dan praktisi industri.",0.4200536
Okan Kornelius Pakai Kemeja Pink dan Dapat Kejutan dari Pacar di Ultah ke-45,"Artis Okan Kornelius saat ini diketahui tengah menjalin hubungan dengan Angeline Valesques. ""Itu memang warna kesukaan Angeline Valesques, ya kenapa nggak (dipakai) selama dia happy nggak apa-apa,"" ungkap Okan Kornelius, kemarin. Momen ulang tahun Okan Kornelius ini terlihat dalam Instagram miliknya. Thank you for the amazing birthday gift, thank you for all the thoughts and caring. Hubungan Okan Kornelius dengan Angeline Valesques memang sudah terjalin sejak beberapa waktu lalu. Keduanya mengaku sangat menyayangi satu sama lain. Kemesraan keduanya juga kerap bikin netizen iri. Hal ini terlihat dalam kolom komentar Instagram keduanya. "" Ccok bngtt ko,,smoga cepat nikah dan bhgia smpai maut memisahkan,"" terang akun yetrs****. "" Berharap suatu saat bisa seperti kalian,"" beber akun lainnya.",0.54701763
Ayu Ting Ting Putus dengan Muhammad Fardhana,"Pedangdut Ayu Ting Ting rupanya sudah tak menjalin hubungan lagi dengan tunangannya, Muhammad Fardhana. Kalau hubungan mereka ya memang sudah putus dan nggak berlanjut,"" kata Dharsyi Akib saat ditemui di kawasan Condet, Jakarta Selatan, Senin 1 Juli 2024. Dharsyi Akib tak mengetahui alasan pasti soal putranya tak melanjutkan hubungannya dengan pelantun Sambalado itu. "" Mereka sudah sama-sama sepakat untuk mengakhiri nya. Mereka sudah sama-sama setuju mengakhiri sebagai orang tua harus menerima apapun keadaannya kan itu mungkin hikmah bagi itu,"" tutur Dharsyi Akib. Masalah hubungan kami tetap baik, namanya perjodohan kan itu urusan dengan Tuhan nah kita mau apa ke depannya kami berhubungan baik jangan sampai kalau dengan manusia dengan manusia harus baik nggak bisa kita jahat sama orang lain dan kita pun harus baik sama siapa pun,"" ucap Dharsyi Akib. Dia berharap semua urusan kedepannya bisa berjalan dengan lancarnya meskipun sudah masing-masing. """,0.3642066
Dion Wiyoko Ajak Anak Muda Tak Takut Berkeringat,"Siapa sangka aktor Dion Wiyoko dulunya jago olahraga? Ternyata, sejak kecil dia sudah aktif berolahraga dan bahkan sampai mengikuti kejuaraan antar sekolah. Dalam acara peluncuran Hydroplus di Pekan Raya Jakarta (PRJ), Dion cerita kalau dia selalu memperhatikan asupan makanan dan minumannya untuk menunjang kesehariannya yang padat. "" Dion pun mengajak anak muda untuk lebih aktif bergerak dan berolahraga. "" Olahraga itu banyak banget manfaatnya, loh. Nggak cuma bikin badan sehat, tapi juga mental jadi lebih positif,"" ajaknya. Minuman ini juga rendah gula, tanpa pengawet dan pewarna, serta menyegarkan. """,0.91170865
Denny Sumargo Ungkap Kondisi Janin di Kandungan Olivia Allan Jelang Melahirkan,"Aktor dan mantan atlet basket, Denny Sumargo bersiap menjadi ayah karena Olivia Allan diprediksi melahirkan pada pertengan Juli 2024. Denny mengungkapkan kondisi janin di kandungan istri. "" Masih mau ditentukan ya last minute nanti (proses melahirkannya), soalnya bisa normal, bisa caesar. Cowok yang akrab disapa Densu itu terlihat sangat antusias menceritakan perkembangan janin pada kandungan Olivia Allan. Ada kalanya posisi janin masih terus memutar di dalam perut istrinya. Denny Sumargo dan istri juga sudah menentukan rumah sakit untuk persalinan. Saat ini bintang film Perfect Strangers itu masih merasa semua berjalan baik-baik saja. "" Ya standarlah nggak perlu banyak motivasi-motivasi berlebihan, cukup prepare, kadang-kadang elus perutnya ya, kadang-kadang kalau dia malam nggak enak tidurnya terus kebangun ya temenin,"" kata Denny Sumargo. Perjuangan Olivia Allan hingga akhirnya mengandung, tidaklah mudah.",0.50513947
Di Balik Paras Feminin Natasha Wilona Ternyata Pecinta Olahraga Ekstrem,"Di balik paras feminin, Natasha Wilona rupanya memiliki hobi olahraga ekstrem, seperti rafting, ski, rockclimbing, hingga skydiving. Bintang sinetron Anak Jalanan itu pecandu adrenalin sejak bertahun-tahun lalu. "" Aku lumayan suka sesuatu yang menantang dan menguji adrenalin, jadi bisa dibilang itu adalah bagian dari hobi ya. Sehingga ia lama-lama ketagihan, bahkan menyukai wahana di taman bermain yang memacu adrenalin. Aku coba kemarin, mulai tahun ini aku aja coba diving. Terlebih sebelum melakoni eks kekasih Verrell Bramasta itu selalu berdoa. "" Nggak takut sih, cuma mungkin tetap lebih berhati-hati. Dan pastinya sebelum beraktivitas tetap berdoa dulu ya. Semoga jangan sampai kenapa-napa,"" ungkapnya. Macam-macamlah, aku pernah jatuh kencang banget kayak kepala aku kebanting kebetulan lagi ski, benar-benar merosot gitu. Pernah lagi snowboard, jatuh belasan kali sudah nggak tahu deh. Bicara semua olahraga ekstrem yang pernah dijajal, Wilona mengaku terkesan saat melakukan skydiving di Kanada. So far yang nggak terlupakan pas skydiving di Kanada sih. Karena seru saja, dari kayak dingin, berapa belas ribu kaki, loncat dari atas pesawat.",0.15840045
"10 Talenta Anak Papua Berkreasi di Camp Broadway, Suguhkan Shrek The Musical","Camp Broadway Indonesia (CBI) kembali menyelenggarakan program Mainstage Jakarta Summer Camp. Total sebanyak 30 murid yang ikut serta dalam program Mainstage 2024 ini. Selama 6 hari anak-anak itu mengikuti rangkaian pelatihan yang ketat, untuk menguasai lagu-lagu dan adegan-adegan dari pertunjukan Broadway Shrek Jr.    Program ini ditutup dengan Finale Showcase bertajuk Shrek the Musical yang digelar di panggung Teater Salihara, pada 29 Juni 2024. "" Program ini mendapat dukungan Perusahaan Film Negara (PFN). Triwatty Marciano selaku Founder Asa Pentas Mahakarya, menuturkan, event ini diharapkan dapat mengembangkan talenta anak Indonesia yang memiliki bakat unik menuju ke pintu Broadway, yang menjadi kiblat pertunjukan seni teater di dunia.",0.7695845
Ayu Ting Ting Putus dari Muhammad Fardhana Tanpa Campur Tangan Orang Tua,"Ayu Ting Ting dan Lettu Muhammad Fardhana sepakat untuk mengakhiri hubungan yang nyaris ke jenjang pernikahan. Ayu mengatakan kandasnya hubungan itu tak ada campur tangan orang tua. Ia meminta netizen untuk tak berprasangka buruk. "" Jadi ya walaupun misalnya orang tua saya ikut campur masalahnya apa, karena gimanapun saya masih menjadi haknya mereka orang tua saya, ayah saya belum mengucapkan ijab atau menyerahkan saya kepada orang lain, jadi saya masih menjadi hak,"" tuturnya. Di sisi lain, ada kabar orang tua saling sindiran terkait gagalnya hubungan Ayu ke jenjang pernikahan. Ayu memastikan keputusan itu telah dibicarakan baik-baik dengan Dhana. Pernikahan yang di depan mata pun pupus. "" Iya kami sudah sudah kami bicarakan sudah kami bicarakan,"" katanya.",0.80702496
Yura Yunita Bukan Sekadar Menghibur tapi Menginspirasi,"Siapa sih yang nggak kenal dengan Yura Yunita, penyanyi yang sudah sangat terkenal di Indonesia maupun luar negeri. Karya-karya dirinya memang selalu mencuri perhatian. Begitu pula dengan pembawaan Yura Yunita yang memang menjadi pusat perhatian banyak orang ini sampai bahkan disebut menjadi inspirasi. Kehadiran Yura Yunita sebagai pengisi acara utama bukan hanya sekadar menghibur, tetapi juga menginspirasi. Yura berhasil menyatukan semua elemen acara dalam harmoni yang sempurna. ""Yura Yunita sebagai bintang utama dalam perayaan ulang tahun ke-40 Ganesha Operatin (GO) bukan hanya untuk menghibur, tetapi juga untuk menginspirasi siswa peserta The Champion Race dan tamu undangan acara dengan semangat dan energi positif yang sama yang selalu menjadi bagian dari pendidikan di GO,"" ungkap Yohanes Kurniawan selaku ketua penyelenggara HUT GO ke-40 dalam keterangannya. Kompetisi yang mengusung konsep e-sports ini merupakan yang pertama kali dilaksanakan di Indonesia.",0.58897716
"Raffi Ahmad Botaki Kepala Usai Haji, Bicara Ajal dan Melepas Duniawi","Presenter Raffi Ahmad memilih untuk menggunduli kepalanya setelah selesai menjalani ibadah haji. Soal menggunduli kepala jadi pembicaraan, karena Atta Halilintar memilih hanya melakukan tahalul. Namun, Raffi Ahmad bersama dengan tiga karyawannya yang ikut menunaikan ibadah haji memilih untuk menggunduli kepala setelah menyelesaikan rukun haji. "" Memang ana ada beberapa kerjaan, tapi ana berpikir ya sudahlah duniawi ana lepas semua selama ana di sana. Kalau yang terbaik botakin rambut ana botakin rambut aja. Meski dirinya dipandang sebagai selebritas yang punya segalanya, Raffi Ahmad menegaskan saat menunaikan ibadah haji semua orang sama. Momen itu juga yang diingat oleh Nisya Ahmad. Dia sampai menangis ketika kakaknya diusir oleh askar. "" Kan kita mau ke Multazam gara-gara Aa Raffi ngelindungin aku, mama, dia disangka taksi. Aku sudah bilang, 'My brother, my brother.'",0.5529536
